parent,child
4C0d-2,Unc06v9k
Alcaligenaceae_Sutterella,Unc06afs
Alcaligenaceae_Sutterella,Unc0798q
Alcaligenaceae_Sutterella,Unc08wxa
Alistipes,AisOnder
Alistipes,Unc06qwb
Alistipes,Unc078zw
Alistipes,Unc0791j
Alistipes,Unc07dm1
Alistipes,Unc08lde
Alistipes,UncRik22
Alphaproteobacteria,Rhodospirillales
Anaerotruncus,Unc05ux4
Anaerotruncus,Unc06ke3
Bacilli,Lactobacillales
Bacteria,4C0d-2
Bacteria,Bacteroidetes
Bacteria,Firmicutes
Bacteria,Proteobacteria
Bacteria,Verrucomicrobia
Bacteroidaceae_Bacteroides,BctGalli
Bacteroidaceae_Bacteroides,Unc05ssj
Bacteroidaceae_Bacteroides,Unc05su8
Bacteroidaceae_Bacteroides,Unc05ys5
Bacteroidaceae_Bacteroides,Unc061mz
Bacteroidaceae_Bacteroides,Unc061n5
Bacteroidaceae_Bacteroides,Unc0636p
Bacteroidaceae_Bacteroides,Unc063x1
Bacteroidaceae_Bacteroides,Unc067si
Bacteroidaceae_Bacteroides,Unc06949
Bacteroidaceae_Bacteroides,Unc069qt
Bacteroidaceae_Bacteroides,Unc069w2
Bacteroidaceae_Bacteroides,Unc069xd
Bacteroidaceae_Bacteroides,Unc06af7
Bacteroidaceae_Bacteroides,Unc06avh
Bacteroidaceae_Bacteroides,Unc06bhm
Bacteroidaceae_Bacteroides,Unc06bhu
Bacteroidaceae_Bacteroides,Unc06bn1
Bacteroidaceae_Bacteroides,Unc06c8w
Bacteroidaceae_Bacteroides,Unc06d5w
Bacteroidaceae_Bacteroides,Unc06d5x
Bacteroidaceae_Bacteroides,Unc06die
Bacteroidaceae_Bacteroides,Unc06dih
Bacteroidaceae_Bacteroides,Unc06e4r
Bacteroidaceae_Bacteroides,Unc06eeq
Bacteroidaceae_Bacteroides,Unc06g1h
Bacteroidaceae_Bacteroides,Unc06grq
Bacteroidaceae_Bacteroides,Unc06iu2
Bacteroidaceae_Bacteroides,Unc06u2z
Bacteroidaceae_Bacteroides,Unc076w0
Bacteroidaceae_Bacteroides,Unc07ex2
Bacteroidaceae_Bacteroides,Unc07ey7
Bacteroidaceae_Bacteroides,Unc07eyy
Bacteroidaceae_Bacteroides,Unc07ezs
Bacteroidaceae_Bacteroides,Unc07gnp
Bacteroidaceae_Bacteroides,Unc07hf6
Bacteroidaceae_Bacteroides,Unc07hh2
Bacteroidaceae_Bacteroides,Unc07hty
Bacteroidaceae_Bacteroides,Unc07hv2
Bacteroidaceae_Bacteroides,Unc07lf2
Bacteroidaceae_Bacteroides,Unc08n9z
Bacteroidaceae_Bacteroides,Unc0905v
Bacteroidaceae_Bacteroides,Unc0907c
Bacteroidaceae_Bacteroides,Unc091c6
Bacteroidaceae_Bacteroides,Unc092c7
Bacteroidaceae_Bacteroides,Unc09fy6
Bacteroidetes,Bacteroidia_Bacteroidales
Bacteroidia_Bacteroidales,Bacteroidaceae_Bacteroides
Bacteroidia_Bacteroidales,Porphyromonadaceae
Bacteroidia_Bacteroidales,Porphyromonadaceae_Barnesiella
Bacteroidia_Bacteroidales,Prevotellaceae
Bacteroidia_Bacteroidales,Rikenellaceae
Betaproteobacteria,Burkholderiales
Blautia,Unc05qqq
Blautia,Unc05r3p
Blautia,Unc05sfs
Blautia,Unc05ssu
Blautia,Unc05tey
Blautia,Unc05u20
Blautia,Unc05x07
Blautia,Unc06ca8
Blautia,Unc06ov6
Blautia,Unc06v2t
Blautia,Unc06zs5
Blautia,Unc06zs7
Blautia,Unc071r2
Blautia,Unc071v3
Blautia,Unc073ti
Blautia,Unc0743l
Blautia,Unc0745k
Blautia,Unc0745l
Blautia,Unc075j4
Blautia,Unc0770q
Blautia,Unc077dl
Blautia,Unc078y7
Blautia,Unc07ft8
Blautia,Unc0957r
Burkholderiales,Alcaligenaceae_Sutterella
Butyricimonas,Unc07g97
Butyricimonas,Unc08829
Clostridia,Clostridiales
Clostridiaceae,Clostridium
Clostridiales,Clostridiaceae
Clostridiales,Lachnospiraceae
Clostridiales,Ruminococcaceae
Clostridiales,Veillonellaceae
Clostridium,CloQuini
Clostridium,Unc06i4k
Coprococcus,Unc06lt2
Coprococcus,Unc06ltb
Coprococcus,Unc06miw
Dialister,Unc078mr
Dialister,Unc07eis
Dialister,Unc07fph
Dorea,Unc05noy
Dorea,Unc05xf7
Dorea,Unc05xz2
Dorea,Unc077f8
Erysipelotrichi_Erysipelotrichales,Incerate Sedis_Erysipelotrichi_Erysipelotrichales
Erysipelotrichi_Erysipelotrichales,Unc05o2u
Faecalibacterium,Unc05pp6
Faecalibacterium,Unc05wl4
Faecalibacterium,Unc061yh
Faecalibacterium,Unc06e9j
Faecalibacterium,Unc06fbf
Faecalibacterium,Unc06fhs
Faecalibacterium,Unc06iwr
Faecalibacterium,Unc06u17
Faecalibacterium,Unc074sn
Faecalibacterium,Unc07agg
Faecalibacterium,Unc07hg0
Faecalibacterium,Unc0826u
Firmicutes,Bacilli
Firmicutes,Clostridia
