time,unit,value
1,4C0d-2,3.179785437699879
2,4C0d-2,0
3,4C0d-2,0
4,4C0d-2,4.248699261236361
5,4C0d-2,6.519149463340751
6,4C0d-2,7.78155613342656
7,4C0d-2,8.940629201995797
8,4C0d-2,7.189922739484246
9,4C0d-2,8.242756414966548
10,4C0d-2,6.964136505781494
11,4C0d-2,6.9565463501798135
12,4C0d-2,5.170516276532822
13,4C0d-2,5.560696423586702
14,4C0d-2,0.881373587019543
15,4C0d-2,0.881373587019543
16,4C0d-2,0
17,4C0d-2,0
18,4C0d-2,0
19,4C0d-2,0
20,4C0d-2,0
21,4C0d-2,0
22,4C0d-2,0
23,4C0d-2,0
24,4C0d-2,0
25,4C0d-2,0
26,4C0d-2,0
27,4C0d-2,3.8291136516208812
28,4C0d-2,5.327899732854396
29,4C0d-2,3.5272244561999657
30,4C0d-2,0
31,4C0d-2,1.8184464592320668
32,4C0d-2,0
33,4C0d-2,0
34,4C0d-2,0
35,4C0d-2,0
36,4C0d-2,0
37,4C0d-2,0
38,4C0d-2,0
39,4C0d-2,0
40,4C0d-2,0
41,4C0d-2,0
42,4C0d-2,0
43,4C0d-2,0
44,4C0d-2,0
45,4C0d-2,0
46,4C0d-2,0
47,4C0d-2,0.881373587019543
48,4C0d-2,0
49,4C0d-2,0
50,4C0d-2,0
51,4C0d-2,0
52,4C0d-2,0
53,4C0d-2,0
54,4C0d-2,0
55,4C0d-2,0
56,4C0d-2,0
1,AisOnder,5.267884728309446
2,AisOnder,5.420554577364409
3,AisOnder,4.8040882242035385
4,AisOnder,4.912708947095866
5,AisOnder,4.248699261236361
6,AisOnder,5.411665981106207
7,AisOnder,6.464590729899821
8,AisOnder,5.683591336391467
9,AisOnder,7.398786649957745
10,AisOnder,6.89365738320022
11,AisOnder,7.708859802498206
12,AisOnder,3.2595725562629214
13,AisOnder,4.564456680755902
14,AisOnder,1.4436354751788103
15,AisOnder,0.881373587019543
16,AisOnder,0
17,AisOnder,0.881373587019543
18,AisOnder,0
19,AisOnder,0
20,AisOnder,0
21,AisOnder,0
22,AisOnder,0
23,AisOnder,0
24,AisOnder,5.723595781434427
25,AisOnder,4.49993310426429
